sprint,planned_points,completed_points,carried_over_points,sprint_start,sprint_end,notes
sprint001,21,21,0,2026-04-29,2026-05-05,初スプリント。MVP学習サイクル完成。全PBI受入。DoD全項目合格(test11件成功/lint0warn/build成功)。
sprint002,13,13,0,2026-05-06,2026-05-12,UX強化(PBI-010〜014)+vite/vitest依存更新(PBI-015)を計画通り完了。全PBI受入。DoD15項目「はい」(test25件成功/lint0/build成功/audit clean)。Day3で全PBI Done、Day4-5は凍結バッファ。
sprint003,7,7,0,2026-05-13,2026-05-19,履歴・40件パターン完全網羅・難易度別フィルタ(PBI-016〜018)を計画通り完了。全PBI受入。DoD18項目「はい」(§9 a11y初適用/test52件成功/lint0/build成功 gzip55.79kB/audit clean)。Day3で全PBI Done、A-6でPBI-019差し込みは見送り合意。3スプリント平均 13.7pt。
sprint004,6,6,0,2026-05-20,2026-05-26,テーマ切替/履歴件数/モード別正答率/履歴コントラスト(PBI-019〜022)を計画通り完了。全PBI受入。DoD18項目「はい」(test78件成功/lint0/build OK 170.11kB/audit クリーン)。Day4で全PBI Done、Day5は最終仕上げ。a11y/PRチェックリスト試行運用完了。4スプリント平均11.75pt。
sprint005,6,6,0,2026-05-27,2026-06-02,PBI-023/024(記述UI/模範比較)完了。DoD §10初適用で10-1/10-2/10-3全て「はい」(writing.test 12件/loader.test 8件/ModelAnswerView.test 5件)。test 109件成功/lint 0/build OK gzip58.87kB/audit clean。全PBI受入。5スプリント連続障害物ゼロ。5スプリント平均10.6pt。
sprint006,7,7,0,2026-06-03,2026-06-09,Quick/Deep切替+記述任意化(PBI-036)+A/B/C意味ラベル全画面統一(PBI-035)+学習スタイル別履歴・正答率(PBI-037)を計画通り完了。全PBI受入。DoD21項目「はい」(test 144件成功/lint 0/build OK gzip約60.0kB/audit クリーン)。§10-3適用範囲をinbasket.learningStyle.v1に拡張(渡辺合意済)。Day3前倒し並行+Day4オール巻取の戦術判断でDay5を最終仕上げに充当。6スプリント連続障害物ゼロ。6スプリント平均10.0pt。
sprint007,7,7,0,2026-06-10,2026-06-16,Exam モード20問90分(PBI-027)+ルールベースAI評価フィードバック(PBI-029)+模範解答11〜20件(PBI-033a)を計画通り完了。全PBI受入。DoD21項目「はい」(test 202件成功(20files)/lint 0/build OK gzip64.56kB/audit クリーン)。§10-3適用範囲をsessionStorage(Exam中断・再開)に拡張(渡辺合意済・K-7再現運用)。A-26巻取上限ガイド初運用(Day3不要判断/Day4実施判断)・A-30沈黙チェック2回実施(潜在課題5件抽出)。Quick→Deep→Exam学習スタイル3段階1ループ完結到達。7スプリント連続障害物ゼロ。7スプリント平均9.57pt。
sprint008,7,7,0,2026-06-17,2026-06-23,Exam終了時スコア振り返り画面(PBI-030)+AI評価フィードバック改善提案(PBI-040)+模範解答21〜30件(PBI-033b)+LearningStyleToggleツールチップ(PBI-036b)を計画通り完了。全PBI受入。DoD21項目「はい」(test 261件成功(23files)/lint 0/build OK gzip 約71.7kB(html0.31+css3.13+js68.30)/audit クリーン)。A-35巻取上限ガイド+A-36沈黙チェック2回(中村TASK-001着手宣言抽出)+A-44障害物起票3軸試行(DAY1試行で起票なし)を運用。Exam→ExamResultView→Deep継続の学習サイクル完成。8スプリント連続障害物ゼロ。8スプリント平均9.25pt。
sprint009,8,8,0,2026-06-24,2026-06-30,主要動線のダイアログ体験統一+Exam中断・再開UX完成。ConfirmDialog内製(PBI-038)+Exam中断・再開UX(PBI-041)+模範解答31〜40件(PBI-033c)+共通ラベル定義源横展開(PBI-042)を計画通り完了。全PBI受入。DoD21項目「はい」(test 296件成功(25files)/lint 0/build OK/audit クリーン)。window.confirm/alert完全置換でa11y統一達成。examProgress sessionStorage(残時間/index/履歴)スキーマ検証+null フォールバックでDoD§10-3拡張(渡辺合意済)。9スプリント連続障害物ゼロ。9スプリント平均9.22pt。新規PBI-046/047起票(佐藤フィードバック起因)。
sprint010,8,8,0,2026-07-01,2026-07-07,モバイル最適化(PBI-045)+examAnswers完全保存(PBI-046)+ConfirmDialogモバイル幅検証(PBI-047)+Exam結果詳細パネル(PBI-043)を計画通り完了。全PBI受入。DoD21項目「はい」(test 329件成功(29files)/lint 0/build OK gzip 72.54kB/audit クリーン)。§10-3適用範囲をexamAnswers完全保存に拡張(渡辺合意済)。a11y §6-D初期フォーカス観点初運用で3-34違反を即時検出・修正。10スプリント連続障害物ゼロ(impediment_log持越なし)。10スプリント平均9.32pt。佐藤フィードバック⑥起因でPBI-048新規起票。
sprint011,8,9,0,2026-07-08,2026-07-14,GitHub Pagesデプロイ+CI/CD(PBI-049)+AdSense AdSlot(PBI-050)+Exam設問別所要時間(PBI-044)を計画通り完了+PBI-048ストレッチ(1pt)をDay4で巻取し計9pt着地。全PBI受入。DoD21項目「はい」(test 346件成功(31files)/lint 0/build OK(VITE_BASE_URL=/ai-scrum-inbuscket/)/audit クリーン)。§5-1 audit CIゲート組込・§5-2 Secrets+OIDC運用・§10-3 elapsedMs拡張(渡辺合意済)。インターネット公開URL運用基盤確立。11スプリント連続障害物ゼロ。11スプリント平均9.39pt。佐藤フィードバック④⑤⑥起因でPBI-051/052/053/054新規起票。
sprint012,8,9,0,2026-07-15,2026-07-21,PBI-051(法務ページ3件)+PBI-052(AdSense本番注入)+PBI-055(パターン別解説)を完了し、DAY5でストレッチPBI-054(前後問導線)を巻取して計9pt着地。DoD21項目「はい」(tsc 0/lint 0/test 356件成功(34files)/build成功/audit High-Critical 0)。12スプリント連続障害物ゼロ。直近3スプリント平均9.00pt。
sprint013,8,10,0,2026-07-22,2026-07-28,主軸4PBI(PBI-056/058/059/060)完了に加えストレッチPBI-057をDay4で巻取し計10pt着地。DAY5で最終品質ゲート通過(test 362件/tsc/lint/build)・backlog整合・handoff作成まで完了。13スプリント連続障害物ゼロ。
sprint014,7,7,0,2026-07-29,2026-08-04,主軸3PBI(PBI-061/062/063)を計画通り完了し計7pt着地。DAY5で最終品質ゲート通過(tsc 0/lint 0/test 39files 379tests/build成功)・backlog整合・handoff作成まで完了。PBI-064は4h余力不足によりストレッチ投入見送り(Sprint015候補)。14スプリント連続障害物ゼロ。
sprint015,1,3,0,2026-08-05,2026-08-11,主軸PBI-065(1pt)を計画通り完了+ストレッチPBI-064(2pt)をDay3で投入確定しDay4で完遂し計3pt着地。DAY5で最終品質ゲート通過(tsc 0/lint 0(warning 0)/test 41files 389tests/build成功 60modules gzip css5.42 js86.89kB)・backlog整合・handoff作成まで完了。共通GlobalNav基盤確立で6ページ統一導線を実現。15スプリント連続障害物ゼロ。
sprint016,6,7,0,2026-08-12,2026-08-18,主軸3PBI(PBI-066/067/068)を計画通り完了+ストレッチPBI-069をDay3で投入確定しDay4で完遂し計7pt着地。DAY5で最終品質ゲート通過(tsc 0/lint 0(warning 0)/test 44files 461tests/build成功 60modules gzip css5.42 js86.93kB)・backlog整合・handoff作成まで完了。アイコン群+SEOメタ+JSON-LD+robots/sitemap/404+noscript+Lighthouse静的レビュー記録が出揃い公開サイト外向き品質を確立。16スプリント連続障害物ゼロ。
sprint017,6,6,0,2026-08-19,2026-08-25,主軸3PBI(PBI-070/025/026)を計画通り完了し計6pt着地。DAY4/DAY5で最終品質ゲート通過(tsc --noEmit エラー0/test 46files 495tests/build成功)。6軸自己採点レーダー+弱点Top3で弱点可視化サイクルを完成し、モバイルトップ画面の間隔改善を受入。
sprint018,8,8,0,2026-08-26,2026-09-01,主軸2PBI(PBI-071/072)を計画通り完了し計8pt着地。DAY5で最終品質ゲート通過(test/lint/build/audit all pass)。問題30件拡充とSEO基盤整備を受入し、継続学習価値と新規流入基盤を同時に前進。
sprint019,6,6,0,2026-09-02,2026-09-08,主軸4PBI(PBI-028/031/032/053)を計画通り完了し計6pt着地。ローリング正答率・Examタイムライン・ダーク可読性・案件間関連ハイライトを全受入。DoD21項目「はい」。19スプリント連続障害物ゼロ。直近3スプリント平均6.67pt。新規PBI-073/074/075を起票。
sprint020,7,7,0,2026-09-09,2026-09-15,主軸2PBI(PBI-076/082)を計画通り完了し計7pt着地。Hashルーティング撤廃→History API移行+soft 404回避(404画面+meta robots noindex)+legacy hash自動replaceState+sitemap.xml pathname化を実装し、SEO計測運用ドキュメント(seo_operations.md)で三角リンク(seo_operations↔lighthouse-sprint016↔pr_checklist §10)を整備。DoD21項目「はい」(tsc 0/lint 0/test 51files 528tests/build成功/audit High-Critical 0)。20スプリント連続障害物ゼロ。直近3スプリント平均6.67pt。手動S1〜S13 PASS。公開後確認C1/C2はSprint Review後30分以内に山本実行、C3/C4はSprint021 DAY1〜2で中村実行(handoff_for_next_sprint.md §1で追跡)。
sprint021,8,8,0,2026-09-16,2026-09-22,主軸3PBI(PBI-081/077/078)を計画通り完了し計8pt着地。構造的SEOゲート3件(sitemap自動生成・<a href>化・canonical/メタ重複自動検知)を確立しSprint022以降のコンテンツ拡充PBI(PBI-079/080)の安全な土台を整備。DoD21項目「はい」(test 53files 557tests/lint 0/tsc 0/build成功/audit High-Critical 0)。21スプリント連続障害物ゼロ。直近3スプリント平均7.0pt。公開後確認C1'-C4'はSprint Review後30分以内に山本・中村実行、K-1(order011(b) Search Console KPI)はSprint022 DAY5で正式運用開始。
